anomaly_source,Specimen,Effects,color,key_words,code,description
A Curious Signal,nan,nan,green,unity,G,Choice between 150-1000 Unity or +10% Citizen Pop Happiness and +100% Xenophile Ethics Attraction for 5 years (Barren)
A Feel For Steel,Decayed Megathrusters,+5% Sublight Speed,magenta,any habitable planet,_,Choice between 250-5000 Energy or a special project to gain the Master's Teachings: Warring States edict  Metal Boneyards planetary feature if the planet is habitable and +2 Alloys deposit if it is not If an L-Gate has been encountered and the L-Cluster hasn't been accessed there is a 30% chance to gain an L-Gate Insight in 10 days (Any Habitable Planet)--------------------Decayed Megathrusters: +5% Sublight Speed
A Glint of Metal,nan,nan,green,any habitable planet,G,Rich Mountain and Submerged Ore Veins planetary features (Any Habitable Planet)
A Strange Resonance,Resonant Diffusion Crystal,+10% Monthly Rare Crystals,magenta,technology,_,Choice between +4 Physics Research deposit and +10% Monthly Unity for 50 years or the next lasers technology if not yet researched (Any Star)--------------------Resonant Diffusion Crystal: +10% Monthly Rare Crystals
Abandoned Settlements,nan,nan,green,any habitable planet,G,Special project to gain the Brain Slug Host trait and 150-500 Society Research if not Machine IntelligenceAdds 3 pre-sapient pops to the planet 150-500 Society Research if Machine (Any Habitable Planet)
Abandoned Station,Curator Survey,+5 Engineering Research,magenta,technology,_,Choice between 100-1000 Energy or 100-1000 Minerals Choice between 50 Influence or the next hyperdrive technology Can choose to instead establish communications with the Curator Order if Arthropoid and Leviathans or Distant Stars is installed (Asteroid)--------------------Curator Survey: +5 Engineering Research
Aerostat Structures,nan,nan,yellow,scaled,Y,Scaled Society Research +3 Engineering Research deposit (Gas Giant)
Aftermath Distress Signal,None,nan,magenta,minerals,_,Option to pay 100 Alloys to gain 150-100000 Unity and 150-2000 Consumer Goods if not Gestalt Consciousness Option to pay 100 Alloys to gain 150-100000 Unity and 150-2000 Minerals if Gestalt Consciousness and not Devouring Swarm 250-5000 Food if Devouring Swarm (Any Star)
Alien Activity,nan,nan,yellow,society research,Y,60-150 Society Research (Gaia)
Alien Life,nan,nan,green,any habitable planet,G,Savage Wildlands planetary feature and Hostile Fauna planet modifier (Any Habitable Planet)
Alien Machine,nan,nan,green,minerals,G,Choice between 100-1000 Minerals and scaled Physics Research or creating a wormhole to a random system (Asteroid)
Among the Vines and Trees,Manna Fruit,+2% Food from Jobs if biological main species  +2% Minerals from Jobs if lithoid main species,magenta,minerals,_,Planet gains the Nutritious Food modifier (Tropical)--------------------Manna Fruit: +2% Food from Jobs if biological main species  +2% Minerals from Jobs if lithoid main species
"An Asteroid, Carved",nan,nan,white,,W,Shrines to the Old Gods event chain (Asteroid)
An Invitation,nan,nan,white,,W,Option to spend 200 Energy to gain a random reward Can choose to instead gain 150-2000 Energy if Corporate (Asteroid)
Ancient Battlefield,nan,nan,green,technology,G,Next hull size technology or scaled Engineering Research if already researched (Asteroid)
Ancient Hulk,nan,nan,green,influence,G,Science ship scientist gains the Hyper Focus trait 50 Influence or special project to find the Paridayda system (Gas Giant)
Ancient Shipyard,nan,nan,green,corvettes,G,Special project to gain 3 pirate corvettes or a pirate destroyer (Uninhabitable Planet)
Arid and Abandoned,nan,nan,green,minerals,G,Choice between 100-1000 Minerals or a special project to gain the Extensive Sensor Searches edict (Arid)
